file_name,VirtualProtectEx,HttpSendRequestW,NtFreeVirtualMemory,CreateThread,LdrLoadDll,SetEndOfFile,UuidCreate,SetFilePointer,NtProtectVirtualMemory,CryptAcquireContextW,MessageBoxTimeoutW,NtWriteVirtualMemory,CreateDirectoryW,NtCreateKey,WriteProcessMemory,LdrUnloadDll,ReadProcessMemory,NtSetInformationFile,NtTerminateProcess,NtWriteFile,VirtualFreeEx,NtSetContextThread,CoInitializeSecurity,NtResumeThread,InternetCloseHandle,NtClose,NtReadVirtualMemory,LookupPrivilegeValueW,GetDiskFreeSpaceExW,OpenServiceA,NtOpenKey,GetSystemTimeAsFileTime,NtDelayExecution,GetVolumePathNameW,NtQueryValueKey,FindResourceExA,GetFileAttributesW,FindResourceExW,NtGetContextThread,GetCursorPos,NtOpenDirectoryObject,getaddrinfo,NtReadFile,SearchPathW,GetSystemMetrics,GetSystemDirectory,label,source
office_21.exe,36,24,23,21,36,2,19,22,6,0,29,23,33,21,23,34,12,1,16,31,17,2,24,35,5,34,27,26,29,44,49,37,29,13,13,9,8,38,31,15,46,15,26,14,11,22,0,Office
utility_37.exe,36,39,11,0,0,30,13,39,1,5,6,7,14,23,17,7,14,35,34,79,7,12,1,16,33,24,36,23,25,17,36,45,18,10,17,47,15,34,6,35,29,18,62,18,6,20,0,Utility
utility_40.exe,18,10,32,27,27,3,11,8,37,0,24,4,29,30,10,20,14,18,22,57,17,0,25,28,40,35,46,9,37,48,5,34,36,44,15,25,9,35,49,8,40,37,60,22,50,14,0,Utility
browser_60.exe,22,1,3,17,19,6,21,8,16,5,32,5,3,28,37,17,28,15,20,68,17,33,7,19,26,31,39,48,20,19,43,8,11,9,48,31,29,48,20,25,18,32,20,24,34,5,0,Browser
teslacrypt_36.exe,31,38,15,65,70,182,76,13,51,242,87,29,37,88,141,48,98,45,53,47,89,20,30,48,41,79,9,6,19,21,28,1,3,19,3,26,2,24,6,28,15,16,25,25,21,12,1,TeslaCrypt
browser_78.exe,8,6,9,40,2,2,5,32,29,0,0,32,15,0,19,22,36,3,3,63,2,17,18,28,22,19,28,31,47,42,24,30,35,34,38,19,9,38,13,6,38,26,33,5,22,36,0,Browser
browser_26.exe,29,11,13,31,23,33,13,38,1,3,12,2,15,10,20,17,0,10,1,38,27,12,12,33,7,38,45,6,25,32,10,26,9,37,14,23,10,28,43,34,5,33,16,44,35,15,0,Browser
office_13.exe,4,39,35,29,14,12,11,5,5,3,6,3,4,25,28,36,32,39,16,72,6,9,18,37,21,10,34,38,25,16,32,45,31,35,12,39,18,24,37,19,28,12,74,7,42,40,0,Office
game_59.exe,4,31,13,37,7,5,15,39,35,4,12,6,39,32,3,24,39,29,15,48,2,6,31,10,13,27,42,11,33,20,47,21,49,45,21,10,45,46,43,37,49,20,76,49,33,34,0,Game
locky_11.exe,137,77,88,82,30,36,48,326,10,169,38,271,36,43,35,20,54,67,69,28,93,65,97,93,23,33,29,12,30,16,17,8,30,3,9,11,30,21,27,25,27,9,23,17,21,3,1,Locky
game_11.exe,22,25,16,29,24,30,12,40,38,5,21,2,39,16,39,20,31,22,8,58,22,3,40,24,20,33,11,26,29,49,43,21,24,47,12,43,10,5,48,19,12,28,38,48,13,28,0,Game
wannacry_76.exe,34,49,74,117,42,94,41,49,46,282,61,91,11,62,249,100,90,42,73,597,67,25,43,60,39,99,19,23,16,7,14,5,1,22,16,27,10,9,7,25,14,11,5,22,22,5,1,WannaCry
browser_36.exe,16,16,33,29,40,24,33,15,39,0,7,5,13,33,10,26,17,25,30,37,12,16,38,7,28,28,34,46,39,25,32,21,9,40,43,20,26,28,10,43,10,28,40,38,13,40,0,Browser
system_73.exe,30,29,36,22,24,35,19,33,38,2,1,0,6,1,25,22,16,3,0,30,23,36,30,32,36,27,42,31,33,12,35,32,43,16,29,44,40,42,17,45,18,8,29,32,49,50,0,System
system_38.exe,27,13,35,27,12,4,20,4,7,3,16,18,8,25,6,6,18,5,13,60,31,8,35,16,6,16,29,39,44,13,48,12,40,13,12,19,8,18,10,20,41,8,35,5,10,31,0,System
game_99.exe,12,30,1,14,18,16,9,30,29,2,37,6,18,12,37,27,40,26,34,80,39,2,36,4,0,36,6,14,6,41,46,23,43,11,42,44,5,41,21,46,14,10,54,27,7,19,0,Game
cerber_30.exe,29,41,70,59,70,63,16,70,174,262,23,37,18,79,58,89,44,77,94,313,12,89,42,63,78,45,21,30,10,7,24,9,21,1,8,16,18,28,9,26,9,25,24,10,6,2,1,Cerber
game_83.exe,36,36,38,27,37,8,1,12,18,4,3,24,21,33,18,37,40,19,26,39,13,4,25,29,3,27,6,29,23,6,24,25,17,43,33,50,32,32,48,19,27,26,30,10,15,22,0,Game
utility_61.exe,2,4,19,22,30,36,25,6,21,0,32,27,21,14,22,24,33,10,17,40,16,32,21,12,25,36,5,49,29,38,16,20,27,5,5,42,43,13,39,50,13,36,63,30,27,22,0,Utility
cerber_69.exe,93,95,53,18,23,40,95,50,75,250,17,46,33,33,19,80,72,31,94,306,91,35,16,15,74,100,21,9,26,11,15,7,3,28,9,2,17,19,12,2,4,8,19,14,29,5,1,Cerber
office_49.exe,1,11,18,31,18,20,28,7,8,3,10,14,5,13,40,12,9,9,22,41,14,5,39,5,26,15,39,12,40,28,22,35,30,29,7,27,22,35,8,24,23,44,64,19,33,16,0,Office
locky_49.exe,159,56,29,57,98,88,32,187,30,92,80,175,54,83,16,16,51,79,37,38,64,56,43,68,68,12,4,25,27,16,12,18,16,3,17,22,16,29,28,8,20,20,28,14,21,11,1,Locky
cerber_121.exe,12,68,88,23,25,27,21,41,195,272,34,80,80,61,92,97,99,61,13,444,62,71,25,61,11,39,22,19,18,24,15,5,29,24,3,15,28,10,13,25,16,30,29,16,8,25,1,Cerber
office_27.exe,5,23,7,37,31,39,11,16,23,5,13,9,9,9,17,15,12,10,4,11,15,20,36,4,6,31,48,18,44,19,20,26,29,41,50,14,42,10,40,29,13,39,67,18,24,29,0,Office
locky_85.exe,111,35,16,35,29,93,17,215,82,87,57,123,80,85,78,33,38,45,56,92,44,57,47,75,88,17,24,13,10,2,28,5,6,30,7,23,16,11,14,25,9,10,27,18,30,10,1,Locky
locky_110.exe,165,29,75,49,89,78,89,215,44,135,67,266,30,100,63,53,78,79,97,34,64,95,100,46,75,58,19,18,6,18,15,16,29,10,17,10,10,14,20,30,5,5,14,17,10,11,1,Locky
wannacry_101.exe,62,55,86,99,53,37,31,30,88,259,45,68,31,57,389,96,74,99,86,521,13,13,82,40,66,42,12,20,17,25,3,9,8,1,14,11,9,11,29,13,10,30,14,24,20,8,1,WannaCry
system_86.exe,28,39,18,25,32,19,1,24,4,4,18,38,23,24,21,9,39,22,10,80,39,22,16,36,10,15,44,21,45,16,41,48,19,13,25,39,36,28,21,37,33,18,77,32,19,22,0,System
system_2.exe,4,40,33,12,37,1,7,18,11,4,34,28,2,30,28,30,21,17,34,75,25,15,21,23,4,15,29,34,16,21,19,48,13,32,6,12,17,35,15,49,37,19,68,44,39,38,0,System
system_47.exe,3,37,18,2,14,0,33,40,35,1,2,33,14,11,24,1,7,13,13,55,34,11,15,22,8,11,24,38,8,30,8,19,22,27,6,20,36,42,19,25,49,25,46,45,20,32,0,System
cerber_96.exe,23,40,32,77,59,82,84,10,159,265,48,18,96,72,28,89,13,73,55,227,91,50,62,29,69,89,23,19,29,15,10,20,30,17,27,23,21,14,28,29,9,7,21,16,10,16,1,Cerber
locky_14.exe,151,65,20,70,44,17,16,145,12,88,27,232,34,64,29,48,91,73,59,72,67,75,32,63,28,99,11,15,28,13,21,24,2,7,3,29,1,12,28,11,17,6,18,4,5,12,1,Locky
browser_21.exe,19,2,23,36,12,3,26,40,8,4,15,6,38,36,11,32,29,34,8,41,31,36,33,19,22,2,50,18,11,40,22,35,38,6,32,22,14,18,6,7,21,20,73,11,45,46,0,Browser
teslacrypt_124.exe,68,14,96,36,78,212,67,74,45,131,46,23,17,180,210,82,58,69,67,41,92,46,49,88,58,37,1,12,30,28,6,22,27,14,6,1,9,3,12,5,18,17,8,19,5,4,1,TeslaCrypt
cerber_120.exe,67,41,68,94,20,63,17,23,152,266,13,59,71,68,90,97,30,21,53,280,63,12,81,58,31,43,26,18,8,12,4,18,26,27,5,28,28,25,19,15,18,28,18,9,25,14,1,Cerber
locky_73.exe,81,14,70,86,18,32,55,337,43,208,83,211,25,87,99,95,70,86,86,28,49,80,73,35,58,94,12,19,1,21,26,9,8,21,1,27,5,6,27,23,12,17,4,25,26,11,1,Locky
browser_87.exe,4,39,28,18,22,8,12,9,29,5,33,5,33,7,38,7,2,33,21,23,40,16,39,6,19,26,18,37,17,44,23,17,5,23,8,33,23,17,34,14,28,18,49,16,15,27,0,Browser
office_84.exe,33,9,11,28,26,29,13,12,40,0,19,19,8,35,40,5,40,5,2,34,20,33,22,9,9,23,11,45,29,8,25,49,39,22,7,30,28,49,12,10,27,42,63,38,36,28,0,Office
system_1.exe,5,39,20,19,17,17,24,37,16,4,39,14,32,6,37,30,21,36,20,26,28,39,10,29,12,22,28,37,13,8,23,13,19,5,50,30,31,5,43,25,18,47,58,43,45,29,0,System
wannacry_59.exe,98,95,79,60,70,40,76,72,66,168,67,47,22,70,234,86,17,98,80,518,27,24,41,62,21,71,6,11,15,18,8,21,5,11,25,14,23,29,4,8,22,13,12,17,25,10,1,WannaCry
cerber_78.exe,41,102,55,10,80,54,48,22,111,233,68,52,30,82,54,98,37,56,18,273,53,81,37,51,94,45,21,6,18,7,19,19,13,20,26,16,19,25,11,9,15,6,6,3,2,8,1,Cerber
wannacry_96.exe,47,13,76,146,75,95,31,43,98,258,86,91,60,86,159,64,31,18,86,304,78,88,14,93,16,16,9,3,8,4,11,7,29,9,2,6,18,20,11,7,16,18,3,8,9,22,1,WannaCry
cerber_62.exe,80,92,72,21,34,32,22,31,114,224,67,45,27,87,31,66,45,60,66,199,15,24,56,10,52,90,17,23,21,5,27,14,19,29,13,1,16,7,16,7,13,4,21,6,28,17,1,Cerber
system_74.exe,31,0,35,19,32,39,13,25,17,2,12,33,24,38,16,13,5,5,33,25,24,26,6,40,23,37,14,49,48,23,18,37,29,32,20,20,44,47,50,44,16,14,48,36,33,47,0,System
cerber_49.exe,22,65,61,46,13,67,62,95,89,107,13,89,42,90,69,68,33,11,87,302,73,59,85,47,99,21,26,24,20,9,15,7,21,22,9,11,17,7,19,26,20,13,21,6,17,27,1,Cerber
cerber_27.exe,24,113,37,73,27,44,69,95,101,276,87,95,12,16,58,16,51,72,22,500,40,93,83,72,26,90,10,28,13,14,20,22,8,15,15,10,6,13,14,20,23,21,17,22,21,25,1,Cerber
system_24.exe,15,4,11,36,11,38,24,19,40,1,35,29,15,18,9,34,10,7,2,12,26,22,1,39,36,39,41,39,14,34,38,8,41,15,13,15,17,9,47,21,16,42,34,43,17,34,0,System
browser_1.exe,37,27,24,5,14,24,8,5,37,2,1,24,33,30,33,22,26,1,17,61,16,15,32,36,7,4,49,37,10,28,43,9,48,24,7,14,43,13,21,26,38,8,74,29,18,46,0,Browser
teslacrypt_64.exe,75,34,36,70,44,187,17,82,52,316,88,90,33,144,198,95,75,33,54,81,77,73,37,16,16,54,17,6,21,23,13,26,30,30,5,21,10,26,15,2,3,28,26,1,18,18,1,TeslaCrypt
game_37.exe,15,7,22,23,6,39,16,1,0,2,2,14,9,3,0,11,13,12,10,24,17,35,12,36,40,21,13,8,25,14,28,48,30,33,49,18,23,5,7,36,50,21,57,8,24,41,0,Game
office_70.exe,14,32,30,21,13,12,38,8,19,5,14,12,18,18,7,19,15,12,12,76,13,9,29,22,1,19,29,38,29,37,26,44,9,49,45,35,50,43,41,6,47,46,73,11,42,46,0,Office
game_79.exe,26,7,36,40,12,32,11,0,2,2,5,0,40,8,36,6,19,14,20,18,4,2,33,4,9,9,14,18,44,34,17,32,43,25,31,36,24,50,50,50,36,25,27,37,24,29,0,Game
cerber_11.exe,48,80,92,12,49,80,14,20,186,191,96,46,26,91,69,49,63,54,98,272,77,27,40,91,65,37,26,11,17,30,16,11,15,7,9,18,17,4,16,23,24,26,20,22,7,3,1,Cerber
office_78.exe,7,28,37,20,27,21,10,28,0,5,13,38,15,10,1,29,2,38,38,27,24,38,15,30,35,23,15,35,37,21,14,46,35,23,34,5,42,5,47,26,5,21,35,20,18,11,0,Office
wannacry_23.exe,32,96,49,97,33,92,30,13,21,119,12,41,30,67,194,14,86,61,92,445,72,83,79,30,55,91,8,18,18,10,14,23,26,19,9,12,22,25,28,10,13,22,8,9,29,13,1,WannaCry
wannacry_30.exe,87,98,72,133,79,85,53,32,72,104,44,92,25,15,340,46,28,30,77,391,69,71,29,38,67,19,17,3,28,23,5,15,27,19,29,26,29,19,25,23,25,21,16,22,1,27,1,WannaCry
browser_17.exe,21,36,6,30,1,29,30,5,26,5,31,5,38,1,15,25,20,16,8,15,31,33,9,27,25,34,27,14,37,10,45,50,16,30,31,34,7,41,42,16,18,24,77,15,47,40,0,Browser
wannacry_10.exe,29,31,47,141,68,73,83,73,49,183,47,26,60,98,369,43,97,46,75,429,35,55,28,90,84,17,27,16,23,25,14,20,3,14,20,24,3,11,19,29,12,1,14,3,10,17,1,WannaCry
locky_96.exe,134,95,53,67,84,58,55,229,100,237,93,289,16,97,94,96,27,65,59,15,39,82,40,85,86,98,24,27,11,9,7,27,15,5,11,28,19,22,25,30,29,19,17,1,19,3,1,Locky
game_20.exe,37,21,4,7,10,5,11,2,2,5,12,15,15,19,20,7,4,28,7,79,22,12,34,39,23,29,39,37,15,36,39,9,41,35,30,14,23,38,14,26,10,48,24,15,38,13,0,Game
cerber_46.exe,80,70,41,67,20,42,72,44,149,279,79,33,52,66,80,73,53,12,43,445,23,11,34,53,56,72,29,5,13,13,17,24,15,8,15,23,9,8,7,18,4,27,1,26,9,21,1,Cerber
wannacry_54.exe,81,24,34,54,81,92,25,63,91,193,72,35,93,35,288,47,41,76,84,472,21,79,43,84,28,19,7,23,11,27,18,26,15,16,5,17,13,4,24,12,25,14,12,28,6,27,1,WannaCry
office_42.exe,23,9,32,39,11,31,5,24,1,3,16,25,3,11,28,1,28,6,2,65,33,36,33,34,3,20,15,8,9,5,40,5,7,6,23,5,29,38,45,30,31,5,65,23,19,12,0,Office
